class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
CollectionUtils,containsAll(coll1 coll2),ConditionKind.PARAM,coll1,ConditionKind.PARAM,coll1,assert (args[0]==null) == false;,assert coll1 != null;,AssertionRelation.INCOMPARABLE,
CollectionUtils,containsAll(coll1 coll2),ConditionKind.PARAM,coll2,ConditionKind.PARAM,coll2,assert (args[1]==null) == false;,assert coll2 != null;,AssertionRelation.INCOMPARABLE,
CollectionUtils,isProperSubCollection(a b),ConditionKind.PARAM,a,ConditionKind.PARAM,a,assert (args[0]==null) == false;,assert a != null;,AssertionRelation.INCOMPARABLE,
CollectionUtils,isProperSubCollection(a b),ConditionKind.PARAM,b,ConditionKind.PARAM,b,assert (args[1]==null) == false;,assert b != null;,AssertionRelation.INCOMPARABLE,
CollectionUtils,select(inputCollection predicate outputCollection rejectedCollection),ConditionKind.PARAM,outputCollection,ConditionKind.PARAM,outputCollection,assert (args[0]==null) == false && (args[1]==null) == false || (args[2]==null) == false;,assert !(inputCollection != null && predicate != null) || outputCollection != null;,AssertionRelation.INCOMPARABLE,
CollectionUtils,select(inputCollection predicate outputCollection rejectedCollection),ConditionKind.PARAM,rejectedCollection,ConditionKind.PARAM,rejectedCollection,assert (args[0]==null) == false || (args[1]==null) == false || (args[3]==null) == false;,assert !(inputCollection != null || predicate != null) || rejectedCollection != null;,AssertionRelation.INCOMPARABLE,
CollectionUtils,get(map index),ConditionKind.THROWS,IndexOutOfBoundsException,ConditionKind.THROWS,IndexOutOfBoundsException,assert map.entrySet().size()<args[1] || args[1]<0;,assert args[1] < 0 || args[1] >= ((Map)args[0]).entrySet().size();,AssertionRelation.INCOMPARABLE,
FluentIterable,zip(others),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert Arrays.asList(others).contains(null);,assert args[0] == null;,AssertionRelation.INCOMPARABLE,
PredicateUtils,invokerPredicate(methodName paramTypes args),ConditionKind.PARAM,methodName,ConditionKind.PARAM,methodName,assert (args[0]==null) == false;,assert methodName != null;,AssertionRelation.INCOMPARABLE,
PredicateUtils,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0].contains(null);,assert iterator(args[0]).hasNext() && iterator(args[0]).next()==null;,AssertionRelation.INCOMPARABLE,
LRUMap,LRUMap(map),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert (args[0]==null)==false&&args[0].isEmpty();,assert !args[0].isEmpty();,AssertionRelation.INCOMPARABLE,
LRUMap,LRUMap(map scanUntilRemovable),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert (args[0]==null)==false&&args[0].isEmpty();,assert !args[0].isEmpty();,AssertionRelation.INCOMPARABLE,
FunctionUtils,sample(f min max n),ConditionKind.THROWS,NumberIsTooLargeException,ConditionKind.THROWS,NumberIsTooLargeException,assert args[1]<=args[2];,assert args[1] >= args[2];,AssertionRelation.INCOMPARABLE,
StepFunction,StepFunction(x y),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null || args[1]==null;,assert x != null && y != null;,AssertionRelation.INCOMPARABLE,
StepFunction,StepFunction(x y),ConditionKind.THROWS,NoDataException,ConditionKind.THROWS,NoDataException,assert args[0]!=null && args[0].length==0 || args[1]!=null && args[1].length==0;,assert x.length > 0 && y.length > 0;,AssertionRelation.INCOMPARABLE,
StepFunction,StepFunction(x y),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert ((args[0].length) == (args[1].length)) == false;,assert x.length == y.length;,AssertionRelation.INCOMPARABLE,
BivariateGridInterpolator,interpolate(xval yval fval),ConditionKind.THROWS,NoDataException,ConditionKind.THROWS,NoDataException,assert args[0]!=null&&args[0].length==0 || args[1]!=null&&args[1].length==0 || args[2]!=null&&args[2].length==0;,assert xval.length == 0 || yval.length == 0 || fval.length == 0;,AssertionRelation.INCOMPARABLE,
LoessInterpolator,interpolate(xval yval),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert ((args[0].length) == (args[1].length)) == false;,assert xval.length != yval.length;,AssertionRelation.INCOMPARABLE,
LoessInterpolator,interpolate(xval yval),ConditionKind.THROWS,NoDataException,ConditionKind.THROWS,NoDataException,assert args[0].length==0 || args[1].length==0;,assert xval.length == 0 || yval.length == 0;,AssertionRelation.INCOMPARABLE,
LoessInterpolator,smooth(xval yval weights),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert ((args[0].length) == (args[1].length)) == false;,assert xval.length != yval.length;,AssertionRelation.INCOMPARABLE,
LoessInterpolator,smooth(xval yval weights),ConditionKind.THROWS,NoDataException,ConditionKind.THROWS,NoDataException,assert args[0].length==0 || args[1].length==0;,assert xval.length == 0 || yval.length == 0;,AssertionRelation.INCOMPARABLE,
BigFraction,divide(i),ConditionKind.THROWS,MathArithmeticException,ConditionKind.THROWS,MathArithmeticException,assert args[0]==0;,assert receiverObjectID.getDenominatorAsLong() == 0;,AssertionRelation.INCOMPARABLE,
BigFraction,divide(l),ConditionKind.THROWS,MathArithmeticException,ConditionKind.THROWS,MathArithmeticException,assert args[0]==0;,assert receiverObjectID.getDenominatorAsLong() == 0;,AssertionRelation.INCOMPARABLE,
CycleCrossover,crossover(first second),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert (args[0].getLength() == args[1].getLength()) == false;,assert args[0].length() != args[1].length;,AssertionRelation.INCOMPARABLE,
CycleCrossover,mate(first second),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert (args[0].getLength() == args[1].getLength()) == false;,assert args[0].size() != args[1].size();,AssertionRelation.INCOMPARABLE,
Interval,checkPoint(point tolerance),ConditionKind.RETURN,,ConditionKind.RETURN,,assert methodResultID.equals(Location.INSIDE) || methodResultID.equals(Location.OUTSIDE) || methodResultID.equals(Location.BOUNDARY);,assert methodResultID != null;,AssertionRelation.INCOMPARABLE,
Line,Line(p1 p2 tolerance),ConditionKind.THROWS,MathIllegalArgumentException,ConditionKind.THROWS,MathIllegalArgumentException,assert (args[0]==null)==false && args[0].equals(args[1]);,assert p1.equals(p2);,AssertionRelation.INCOMPARABLE,
SubLine,SubLine(start end tolerance),ConditionKind.THROWS,MathIllegalArgumentException,ConditionKind.THROWS,MathIllegalArgumentException,assert (args[0]==null)==false && args[0].equals(args[1]);,assert start.equals(end);,AssertionRelation.INCOMPARABLE,
Region,checkPoint(point),ConditionKind.RETURN,,ConditionKind.RETURN,,assert methodResultID.equals(Location.INSIDE) || methodResultID.equals(Location.OUTSIDE) || methodResultID.equals(Location.BOUNDARY);,assert methodResultID != null;,AssertionRelation.INCOMPARABLE,
Region,side(hyperplane),ConditionKind.RETURN,,ConditionKind.RETURN,,assert methodResultID.equals(Side.PLUS) || methodResultID.equals(Side.MINUS) || methodResultID.equals(Side.BOTH) || methodResultID.equals(Side.HYPER);,assert methodResultID instanceof Side;,AssertionRelation.INCOMPARABLE,
PreconditionedIterativeLinearSolver,solve(a m b),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null || args[1]==null || args[2]==null;,assert a == null || m == null || b == null;,AssertionRelation.INCOMPARABLE,
PreconditionedIterativeLinearSolver,solveInPlace(a m b x0),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null || args[1]==null || args[2]==null || args[3]==null;,assert a == null || m == null || b == null || x0 == null;,AssertionRelation.INCOMPARABLE,
RealVector,getSubVector(index n),ConditionKind.THROWS,NotPositiveException,ConditionKind.THROWS,NotPositiveException,assert (args[1]>0) == false;,assert n <= 0;,AssertionRelation.INCOMPARABLE,
RealVector,cosine(v),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert receiverObjectID.getDimension() != args[0].getDimension();,assert receiverObjectID.getEntry(0).length != args[0].getEntry(0).length;,AssertionRelation.INCOMPARABLE,
RealVector,ebeDivide(v),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert args[0].getDimension() != receiverObjectID.getDimension();,assert receiverObjectID.size() != args[0].size();,AssertionRelation.INCOMPARABLE,
RealVector,ebeMultiply(v),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert args[0].getDimension() != receiverObjectID.getDimension();,assert receiverObjectID.size() != args[0].size();,AssertionRelation.INCOMPARABLE,
RealVector,getDistance(v),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert args[0].getDimension() != receiverObjectID.getDimension();,assert receiverObjectID.size() != args[0].size();,AssertionRelation.INCOMPARABLE,
RealVector,getL1Distance(v),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert args[0].getDimension() != receiverObjectID.getDimension();,assert receiverObjectID.size() != args[0].size();,AssertionRelation.INCOMPARABLE,
RealVector,getLInfDistance(v),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert args[0].getDimension() != receiverObjectID.getDimension();,assert receiverObjectID.size() != args[0].size();,AssertionRelation.INCOMPARABLE,
RealVector,projection(v),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert args[0].getDimension() != receiverObjectID.getDimension();,assert receiverObjectID.size() != args[0].size();,AssertionRelation.INCOMPARABLE,
RealVector,combine(a b y),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert args[2].getDimension() != receiverObjectID.getDimension();,assert receiverObjectID.size() != args[2].size();,AssertionRelation.INCOMPARABLE,
RealVector,combineToSelf(a b y),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert args[2].getDimension() != receiverObjectID.getDimension();,assert receiverObjectID.size() != args[2].size();,AssertionRelation.INCOMPARABLE,
SummaryStatistics,copy(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert methodResultID.equals(receiverObjectID);,assert methodResultID != null && methodResultID.getClass() == receiverObjectID.getClass();,AssertionRelation.INCOMPARABLE,
ArithmeticUtils,binomialCoefficient(n k),ConditionKind.THROWS,NotPositiveException,ConditionKind.THROWS,NotPositiveException,assert args[0]<0;,assert n < 0;,AssertionRelation.INCOMPARABLE,
ArithmeticUtils,binomialCoefficient(n k),ConditionKind.THROWS,NumberIsTooLargeException,ConditionKind.THROWS,NumberIsTooLargeException,assert args[1]>args[0];,assert k > n;,AssertionRelation.INCOMPARABLE,
Feature,appliesTo(turn),ConditionKind.RETURN,,ConditionKind.RETURN,,assert args[0]==null ? methodResultID == true : methodResultID==false;,assert methodResultID == (args[0] == null || !receiverObjectID.isOutOfDate(args[0]));,AssertionRelation.INCOMPARABLE,
Player,hasExplored(tile),ConditionKind.RETURN,,ConditionKind.RETURN,,assert args[0].isExplored() ? methodResultID==true:methodResultID==false;,assert methodResultID == receiverObjectID.hasExplored(args[0]);,AssertionRelation.INCOMPARABLE,
Splitter,on(separator),ConditionKind.PARAM,separator,ConditionKind.PARAM,separator,assert (args[0]==null) == false;,assert !args[0].isEmpty();,AssertionRelation.INCOMPARABLE,
ConcurrentHashMultiset,ConcurrentHashMultiset(countMap),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert (args[0]==null)==false && (args[0].isEmpty())==false;,assert !countMap.isEmpty();,AssertionRelation.INCOMPARABLE,
BloomFilter,create(funnel expectedInsertions fpp),ConditionKind.PARAM,expectedInsertions,ConditionKind.PARAM,expectedInsertions,assert args[1]>0;,assert expectedInsertions > 0;,AssertionRelation.INCOMPARABLE,
BloomFilter,create(funnel expectedInsertions fpp),ConditionKind.PARAM,expectedInsertions,ConditionKind.PARAM,expectedInsertions,assert args[1]>0;,assert expectedInsertions > 0;,AssertionRelation.INCOMPARABLE,
Doubles,min(array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,assert args[0]!=null && (args[0].length==0) == false;,assert args[0].length > 0;,AssertionRelation.INCOMPARABLE,
Doubles,max(array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,assert args[0]!=null && (args[0].length==0) == false;,assert args[0].length > 0;,AssertionRelation.INCOMPARABLE,
Floats,min(array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,assert args[0]!=null && (args[0].length==0)==false;,assert args[0].length > 0;,AssertionRelation.INCOMPARABLE,
Floats,max(array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,assert args[0]!=null && (args[0].length==0)==false;,assert args[0].length > 0;,AssertionRelation.INCOMPARABLE,
Shorts,min(array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,assert args[0]!=null && (args[0].length==0) == false;,assert args[0].length > 0;,AssertionRelation.INCOMPARABLE,
Shorts,max(array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,assert args[0]!=null && (args[0].length==0) == false;,assert args[0].length > 0;,AssertionRelation.INCOMPARABLE,
Graph,addEdge(sourceVertex targetVertex),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert receiverObjectID.contains(arg[0])==false || receiverObjectID.contains(arg[1])==false;,assert !receiverObjectID.containsVertex(args[0]) || !receiverObjectID.containsVertex(args[1]);,AssertionRelation.INCOMPARABLE,
Graph,addEdge(sourceVertex targetVertex e),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert receiverObjectID.contains(arg[0])==false || receiverObjectID.contains(arg[1])==false;,assert !receiverObjectID.containsVertex(args[0]) || !receiverObjectID.containsVertex(args[1]);,AssertionRelation.INCOMPARABLE,
Graph,addEdge(sourceVertex targetVertex e),ConditionKind.RETURN,,ConditionKind.RETURN,,"assert (receiverObjectID.containsEdge(args[0],args[1]))==false?methodResultID==true:methodResultID==false;",assert methodResult == !containsEdge(e);,AssertionRelation.INCOMPARABLE,
Graph,addVertex(v),ConditionKind.RETURN,,ConditionKind.RETURN,,assert (receiverObjectID.containsVertex(args[0]))==false ? methodResultID==true:methodResultID==false;,assert methodResult == !receiverObjectID.containsVertex(args[0]);,AssertionRelation.INCOMPARABLE,
Graph,removeEdge(e),ConditionKind.RETURN,,ConditionKind.RETURN,,assert receiverObjectID.containsEdge(args[0]) ? methodResultID==true : methodResultID==false;,assert methodResultID == (args[0] != null && receiverObjectID.containsEdge(args[0]));,AssertionRelation.INCOMPARABLE,
Graph,removeVertex(v),ConditionKind.RETURN,,ConditionKind.RETURN,,assert receiverObjectID.containsVertex(args[0]) ? methodResultID==true : methodResultID==false;,assert methodResultID == (args[0] != null && receiverObjectID.containsVertex(args[0]));,AssertionRelation.INCOMPARABLE,
Graphs,addEdgeWithVertices(targetGraph sourceGraph edge),ConditionKind.RETURN,,ConditionKind.RETURN,,assert (args[0]==null)==false && (args[0].containsEdge(args[2]))==false?methodResultID==true:methodResultID==false;,assert methodResult == !targetGraph.containsEdge(edge);,AssertionRelation.INCOMPARABLE,
Graphs,undirectedGraph(g),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert !(args[0] instanceof org.jgrapht.DirectedGraph) && !(args[0] instanceof org.jgrapht.UndirectedGraph);,assert !(g instanceof DirectedGraph) && !(g instanceof UndirectedGraph);,AssertionRelation.INCOMPARABLE,
AbstractGraph,assertVertexExist(v),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert receiverObjectID.containsVertex(arg[0])==false;,assert !receiverObjectID.containsVertex(args[0]);,AssertionRelation.INCOMPARABLE,
